#\kappa_tau,\kappa_tau_tilde,\lnLog
-1.98,-0.36,136.92267703115203
-1.98,-0.34,136.18941856842565
-1.98,-0.32,135.49957213341582
-1.98,-0.3,134.85652059387704
-1.98,-0.28,134.2539568794209
-1.98,-0.26,133.6962037128093
-1.98,-0.24,133.1801204368494
-1.98,-0.22,132.71751848691937
-1.98,-0.2,132.29400828599205
-1.98,-0.18,131.90776851216327
-1.98,-0.16,131.54192817668257
-1.98,-0.14,131.22545538816416
-1.98,-0.12,130.94034479467228
-1.98,-0.1,130.70071610575866
-1.98,-0.08,130.50334029502744
-1.98,-0.06,130.35777090692818
-1.98,-0.04,130.26022675745494
-1.98,-0.02,130.20878433615147
-1.98,-0.0,130.19649346766326
-1.98,0.02,130.24190176659093
-1.98,0.04,130.31695599990138
-1.98,0.06,130.4317144696152
-1.98,0.08,130.5800399009681
-1.98,0.1,130.78444110585565
-1.98,0.12,131.0203126536248
-1.98,0.14,131.29468815132358
-1.98,0.16,131.59578156267483
-1.98,0.18,131.96157789698827
-1.98,0.2,132.36713466869
-1.98,0.22,132.81804018539688
-1.98,0.24,133.3035423701031
-1.98,0.26,133.84293884027693
-1.98,0.28,134.41348011956998
-1.98,0.3,135.02589071188194
-1.98,0.32,135.67777560832172
-1.98,0.34,136.38240179745284
-1.98,0.36,137.12220604552596
-1.98,0.38,137.90739960856533
-1.98,0.4,138.74468109988726
-1.98,0.42,139.6401318613017
-1.98,0.44,140.5815862317458
-1.98,0.46,141.5515614203091
-1.98,0.48,142.54623375543758
-1.98,0.5,143.56105601431403
-1.98,0.52,144.60348196195548
-1.98,0.54,145.6768994467815
-1.98,0.56,146.79518143128107
-1.98,0.58,147.9676051940301
-1.98,0.6,149.18803829373687
-1.98,0.62,150.44121680925977
-1.98,0.64,151.72717295375392
-1.98,0.66,153.05806986124392
-1.98,0.68,154.42192560894637
-1.98,0.7,155.82298780041793
-1.98,0.72,157.2535943145771
-1.98,0.74,158.7146772693483
-1.98,0.76,160.20161893512255
-1.98,0.78,161.72937436398956
-1.98,0.8,163.3002054665077
-1.98,0.82,164.93382596446796
-1.98,0.84,166.6029828236142
-1.98,0.86,168.30267551432345
-1.98,0.88,170.01195972713072
-1.98,0.9,171.751722472595
-1.98,0.92,173.49425863797163
-1.98,0.94,175.26331615050083
-1.98,0.96,177.07024277839685
-1.98,0.98,178.94741149924891
-1.98,1.0,180.86378441946601
-1.98,1.02,182.816866959247
-1.98,1.04,184.78759830562132
-1.98,1.06,186.77520535606914
-1.98,1.08,188.7684550046891
-1.98,1.1,190.78162293456663
-1.98,1.12,192.82809335333275
-1.98,1.14,194.92157295450542
-1.98,1.16,197.05678139145846
-1.98,1.18,199.21727432963755
-1.98,1.2,201.40228422064075
-1.98,1.22,203.60287806155267
-1.98,1.24,205.8250041193152
-1.98,1.26,208.04949629425982
-1.98,1.28,210.29200955359426
-1.98,1.3,212.5692868864979
-1.98,1.32,214.87177415969597
-1.98,1.34,217.19280937454286
-1.98,1.36,219.53459204795132
-1.98,1.38,221.90300736483826
-1.98,1.4,224.28863030013318
-1.98,1.42,226.7078727845278
-1.98,1.44,229.16080588186577
-1.98,1.46,231.6579169536835
-1.98,1.48,234.17603104978858
-1.98,1.5,236.7022203393834
-1.98,1.52,239.22684017917499
-1.98,1.54,241.73859202941904
-1.98,1.56,244.25049037142583
-1.98,1.58,246.77786931347282
-1.98,1.6,249.33239980265475
-1.98,1.62,251.9314785977283
-1.98,1.64,254.53776542085757
-1.98,1.66,257.15481037094554
-1.98,1.68,259.77775283235246
-1.98,1.7,262.4321401365981
-1.98,1.72,265.08943605848634
-1.98,1.74,267.7611732140175
-1.98,1.76,270.44269634193387
-1.98,1.78,273.1437489752879
-1.98,1.8,275.8659862413829
-1.98,1.82,278.5891743602088
-1.98,1.84,281.3155862165425
-1.98,1.86,284.0521124771966
-1.98,1.88,286.8069181201673
-1.98,1.9,289.58323256191613
-1.98,1.92,292.37862096446133
-1.98,1.94,295.1932007653469
-1.98,1.96,298.02487350713164
-1.98,1.98,300.87607582830344
-1.98,2.0,303.7388196736004
-1.96,-2.0,300.7305057337975
-1.96,-1.98,297.8749788178599
-1.96,-1.96,295.0203401225385
-1.96,-1.94,292.1688004610102
-1.96,-1.92,289.31455032036456
-1.96,-1.9,286.45507181449284
-1.96,-1.88,283.6055956795365
-1.96,-1.86,280.778086857322
-1.96,-1.84,277.977179032242
-1.96,-1.82,275.1956895508843
-1.96,-1.8,272.42429267907636
-1.96,-1.78,269.67075609354754
-1.96,-1.76,266.93707065680536
-1.96,-1.74,264.21677667807825
-1.96,-1.72,261.50952777307043
-1.96,-1.7,258.8205356044983
-1.96,-1.68,256.1439050198794
-1.96,-1.66,253.47245829013045
-1.96,-1.64,250.8143789243618
-1.96,-1.62,248.1732796059987
-1.96,-1.6,245.55100143632274
-1.96,-1.58,242.9469581724714
-1.96,-1.56,240.3576506000632
-1.96,-1.54,237.78627500403712
-1.96,-1.52,235.2442980252181
-1.96,-1.5,232.7396609396777
-1.96,-1.48,230.2613967467131
-1.96,-1.46,227.7939424284245
-1.96,-1.44,225.3339363291084
-1.96,-1.42,222.8844905066937
-1.96,-1.4,220.44649608372708
-1.96,-1.38,218.01703071572243
-1.96,-1.36,215.60783873054993
-1.96,-1.34,213.23507942341382
-1.96,-1.32,210.8909793218645
-1.96,-1.3,208.5731759394732
-1.96,-1.28,206.28519344124476
-1.96,-1.26,204.02320736242734
-1.96,-1.24,201.78072315231785
-1.96,-1.22,199.56022773028053
-1.96,-1.2,197.372658716071
-1.96,-1.18,195.21899683853027
-1.96,-1.16,193.09049177904302
-1.96,-1.14,190.97826212481783
-1.96,-1.12,188.8813102689231
-1.96,-1.1,186.80541533253654
-1.96,-1.08,184.75560064714952
-1.96,-1.06,182.7320644948478
-1.96,-1.04,180.7430007366327
-1.96,-1.02,178.79691666783097
-1.96,-1.0,176.88901666708978
-1.96,-0.98,175.01541249257735
-1.96,-0.96,173.17969908792327
-1.96,-0.94,171.38917748084558
-1.96,-0.92,169.63452461155677
-1.96,-0.9,167.89697700773186
-1.96,-0.88,166.1613907790181
-1.96,-0.86,164.42360059774063
-1.96,-0.84,162.70632435789847
-1.96,-0.82,161.0247050502398
-1.96,-0.8,159.3866162516413
-1.96,-0.78,157.80824797022495
-1.96,-0.76,156.27680302682
-1.96,-0.74,154.76985282541276
-1.96,-0.72,153.29527560990311
-1.96,-0.7,151.85671255412984
-1.96,-0.68,150.45150326702682
-1.96,-0.66,149.09262298091127
-1.96,-0.64,147.77708274319727
-1.96,-0.62,146.50164112726983
-1.96,-0.6,145.27299038063933
-1.96,-0.58,144.09684775020054
-1.96,-0.56,142.94190092101988
-1.96,-0.54,141.7655940891327
-1.96,-0.52,140.61967959981953
-1.96,-0.5,139.5432370787743
-1.96,-0.48,138.51337108075182
-1.96,-0.46,137.52143298521037
-1.96,-0.44,136.56636357848896
-1.96,-0.42,135.64900617206104
-1.96,-0.4,134.78172540998915
-1.96,-0.38,133.97489853890463
-1.96,-0.36,133.20793123744542
-1.96,-0.34,132.470353448463
-1.96,-0.32,131.774683068897
-1.96,-0.3,131.12341201409686
-1.96,-0.28,130.51645762865363
-1.96,-0.26,129.95498775958168
-1.96,-0.24,129.43571013291032
-1.96,-0.22,128.96333590503195
-1.96,-0.2,128.534896660056
-1.96,-0.18,128.13420412079583
-1.96,-0.16,127.76642754011345
-1.96,-0.14,127.44828173039463
-1.96,-0.12,127.17198437651085
-1.96,-0.1,126.93205669380788
-1.96,-0.08,126.74008464085242
-1.96,-0.06,126.6020555907661
-1.96,-0.04,126.51344144509835
-1.96,-0.02,126.4606441069275
-1.96,-0.0,126.452838487923
-1.96,0.02,126.50499689181083
-1.96,0.04,126.59859138240833
-1.96,0.06,126.71436415785038
-1.96,0.08,126.86546956893102
-1.96,0.1,127.06595499610964
-1.96,0.12,127.29919646024003
-1.96,0.14,127.54971084341388
-1.96,0.16,127.84299882581824
-1.96,0.18,128.20568020440575
-1.96,0.2,128.62211845112856
-1.96,0.22,129.07271858662517
-1.96,0.24,129.5668196258718
-1.96,0.26,130.11007009027506
-1.96,0.28,130.69145382935358
-1.96,0.3,131.30962279754047
-1.96,0.32,131.9711324987611
-1.96,0.34,132.68178149189535
-1.96,0.36,133.4309954957788
-1.96,0.38,134.21539596086143
-1.96,0.4,135.05129561138185
-1.96,0.42,135.94491264178015
-1.96,0.44,136.88446182525954
-1.96,0.46,137.85471892894773
-1.96,0.48,138.8514380141511
-1.96,0.5,139.87404323514272
-1.96,0.52,140.9249587431028
-1.96,0.54,142.00940717370247
-1.96,0.56,143.14150714336643
-1.96,0.58,144.33260356166124
-1.96,0.6,145.56737004078744
-1.96,0.62,146.8285504296963
-1.96,0.64,148.12368973541655
-1.96,0.66,149.46385868674918
-1.96,0.68,150.8414979016473
-1.96,0.7,152.2525237876468
-1.96,0.72,153.69590773593376
-1.96,0.74,155.170116905054
-1.96,0.76,156.67580375270018
-1.96,0.78,158.21002938879602
-1.96,0.8,159.78935665879627
-1.96,0.82,161.42792389921618
-1.96,0.84,163.10560162043055
-1.96,0.86,164.79956058827275
-1.96,0.88,166.51704207213223
-1.96,0.9,168.2683238741942
-1.96,0.92,170.03915784211003
-1.96,0.94,171.8201996460232
-1.96,0.96,173.64371342823077
-1.96,0.98,175.53001229375613
-1.96,1.0,177.4583997098336
-1.96,1.02,179.41609661812237
-1.96,1.04,181.39959307599395
-1.96,1.06,183.39767554875033
-1.96,1.08,185.4048411216685
-1.96,1.1,187.43306561372006
-1.96,1.12,189.49938876616378
-1.96,1.14,191.61184558486377
-1.96,1.16,193.76127522833917
-1.96,1.18,195.93593711324505
-1.96,1.2,198.1379670221467
-1.96,1.22,200.37263313735696
-1.96,1.24,202.6202332459602
-1.96,1.26,204.86726567395937
-1.96,1.28,207.13606798766168
-1.96,1.3,209.4333333946479
-1.96,1.32,211.74956660627456
-1.96,1.34,214.08323328375968
-1.96,1.36,216.43616012462599
-1.96,1.38,218.81854013893758
-1.96,1.4,221.2269404524752
-1.96,1.42,223.6538067553772
-1.96,1.44,226.11439371634177
-1.96,1.46,228.61824347870103
-1.96,1.48,231.14730038947238
-1.96,1.5,233.68236261778335
-1.96,1.52,236.2161987118217
-1.96,1.54,238.74499033144664
-1.96,1.56,241.27650214527398
-1.96,1.58,243.8193429543892
-1.96,1.6,246.39494265148082
-1.96,1.62,249.02161491657245
-1.96,1.64,251.67250137468793
-1.96,1.66,254.31775634721794
-1.96,1.68,256.97069033196004
-1.96,1.7,259.6440223797455
-1.96,1.72,262.32210651572774
-1.96,1.74,264.99990412658286
-1.96,1.76,267.6951670845019
-1.96,1.78,270.42164606760264
-1.96,1.8,273.16539932288555
-1.96,1.82,275.9065498963421
-1.96,1.84,278.6458355271362
-1.96,1.86,281.3906479794303
-1.96,1.88,284.1475284937481
-1.96,1.9,286.9288922509769
-1.96,1.92,289.73594040504275
-1.96,1.94,292.56131266213583
-1.96,1.96,295.4106752526471
-1.96,1.98,298.2806471542591
-1.96,2.0,301.15733709140943
-1.94,-2.0,298.11676930129755
-1.94,-1.98,295.26376692028214
-1.94,-1.96,292.40846925136435
-1.94,-1.94,289.54259205446556
-1.94,-1.92,286.67721885562844
-1.94,-1.9,283.8029046946032
-1.94,-1.88,280.9342388301887
-1.94,-1.86,278.08558850393854
-1.94,-1.84,275.25933369730785
